what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273215787636
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273215791148
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273215800098
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273215802855
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273215807868
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273215809417
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273215811183
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273215823145
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273215825179
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273215825945
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273215827689
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273215831000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273215836927
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216130330
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216130841
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216131310
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216132017
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216335590
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216346106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216353733
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216364795
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216366230
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273216368077
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273216373002
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1273216375091
executed,command,,,"org.eclipse.emf.mwe.ui.debug.launching.shortcut.run",1273216378382
activated,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273216385522
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273216386951
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1273216388821
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216390169
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216399727
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216401228
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216444621
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216445539
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216520788
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216522464
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216613490
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273216614812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273218007854
activated,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273218010907
closed,editor,org.eclipse.emf.mwe.ui.simpleEditor,,"org.eclipse.emf.mwe.ui.internal.simpleEditor.WorkflowEditor",1273218010907
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273218010941
activated,editor,org.eclipse.xtext.xtext.ui,0.7.2.v200908120607,"org.eclipse.xtext.Xtext",1273218011735
closed,editor,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui.XpandEditor",1273218011735
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1273218011776
